kabkota,kecamatan,negeri,swasta
Jakarta Pusat,Tanah Abang,419,142
Jakarta Pusat,Menteng,222,203
Jakarta Pusat,Senen,385,159
Jakarta Pusat,Johar Baru,384,60
Jakarta Pusat,Cempaka Putih,315,105
Jakarta Pusat,Kemayoran,856,319
Jakarta Pusat,Sawah Besar,263,266
Jakarta Pusat,Gambir,323,180
Jakarta Utara,Penjaringan,485,657
Jakarta Utara,Pademangan,339,157
Jakarta Utara,Tanjung Priok,765,721
Jakarta Utara,Koja,925,275
Jakarta Utara,Kelapa Gading,229,552
Jakarta Utara,Cilincing,875,436
Jakarta Barat,Kembangan,813,614
Jakarta Barat,Kebon Jeruk,852,498
Jakarta Barat,Palmerah,683,141
Jakarta Barat,Grogol Petamburan,510,386
Jakarta Barat,Tambora,408,422
Jakarta Barat,Taman Sari,288,211
Jakarta Barat,Cengkareng,"1,192",614
Jakarta Barat,Kalideres,980,683
Jakarta Selatan, Jagakarsa,966,343
Jakarta Selatan,Pasar Minggu,732,358
Jakarta Selatan,Cilandak,652,527
Jakarta Selatan,Pesanggrahan,781,249
Jakarta Selatan,Kebayoran Lama,979,452
Jakarta Selatan,Kebayoran Baru,474,330
Jakarta Selatan,Mampang Prapatan,372,145
Jakarta Selatan,Pancoran,484,42
Jakarta Selatan,Tebet,750,332
Jakarta Selatan, Setia Budi,378,175
Jakarta Timur, Pasar Rebo,825,239
Jakarta Timur, Ciracas,914,223
Jakarta Timur, Cipayung,793,227
Jakarta Timur, Makasar,686,273
Jakarta Timur, Kramat Jati,881,326
Jakarta Timur, Jatinegara,870,306
Jakarta Timur, Duren Sawit,"1,365",575
Jakarta Timur, Cakung,"1,275",303
Jakarta Timur, Pulo Gadung,830,493
Jakarta Timur, Matraman,548,175
Kepulauan Seribu, Kepulauan Seribu Selatan,94,0
Kepulauan Seribu, Kepulauan Seribu Utara,113,0
